conta,duração,historico,motivo,quantia,poupança,emprego,taxa,status,garantia,residencia,propriedades,idade,financiamentos,moradia,creditos,trabalho,dependentes,telefone,estrangeiro,pagador
negativo,24,conta crítica,carro usado,6615,<100,desempregado,2,masculino/solteiro,nenhum,4,sem propriedades,75,nenhum,de graça,2,nível 3,1,sim,não,bom
sem conta,18,conta crítica,educação,1864,[100-500),"[1,4) anos",4,feminino/divorciado,nenhum,2,imobiliario,30,nenhum,própria,2,nível 2,1,não,não,mau
[0-200),60,pagamento em dia,carro novo,7408,[100-500),< 1 ano,4,feminino/divorciado,nenhum,2,seguro  de vida,24,nenhum,própria,1,nível 3,1,não,não,mau
sem conta,48,conta crítica,carro usado,11590,[100-500),"[1,4) anos",2,feminino/divorciado,nenhum,4,carro,24,bancos,alugada,2,nível 1,1,não,não,mau
negativo,24,primeira vez,móveis,4110,<100,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,23,bancos,alugada,2,nível 2,2,não,não,mau
negativo,6,conta crítica,móveis,3384,<100,"[1,4) anos",1,masculino/divorciado,nenhum,4,imobiliario,44,nenhum,alugada,1,nível 3,1,sim,não,mau
[0-200),13,pagamento em dia,radio/televisão,2101,<100,< 1 ano,2,feminino/divorciado,fiador,4,seguro  de vida,23,nenhum,própria,1,nível 1,1,não,não,bom
negativo,15,pagamento em dia,itens de casa,1275,sem conta,"[1,4) anos",4,feminino/divorciado,nenhum,2,carro,24,nenhum,alugada,1,nível 2,1,não,não,mau
negativo,24,pagamento em dia,móveis,4169,<100,"[1,4) anos",4,masculino/solteiro,nenhum,4,seguro  de vida,28,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),10,pagamento em dia,móveis,1521,<100,"[1,4) anos",4,masculino/divorciado,nenhum,2,carro,31,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),24,conta crítica,educação,5743,<100,< 1 ano,2,feminino/divorciado,nenhum,4,sem propriedades,24,nenhum,de graça,2,nível 2,1,sim,não,bom
negativo,21,pagamento em dia,móveis,3599,<100,"[4,7) anos",1,feminino/divorciado,nenhum,4,carro,26,nenhum,alugada,1,nível 1,1,não,não,bom
[0-200),18,pagamento em dia,radio/televisão,3213,[500-1000),< 1 ano,1,masculino/casado,nenhum,3,imobiliario,25,nenhum,alugada,1,nível 2,1,não,não,bom
[0-200),18,pagamento em dia,negócios,4439,<100,> 7 anos,1,masculino/solteiro,co-aplicante,1,imobiliario,33,bancos,própria,1,nível 3,1,sim,não,bom
200+,10,pagamento em dia,carro novo,3949,<100,< 1 ano,1,masculino/solteiro,fiador,1,seguro  de vida,37,nenhum,própria,1,nível 1,2,não,não,bom
sem conta,15,conta crítica,radio/televisão,1459,<100,"[1,4) anos",4,feminino/divorciado,nenhum,2,carro,43,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),13,conta crítica,radio/televisão,882,<100,< 1 ano,4,masculino/solteiro,fiador,4,imobiliario,23,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),24,pagamento em dia,radio/televisão,3758,[500-1000),desempregado,1,feminino/divorciado,nenhum,4,sem propriedades,23,nenhum,alugada,1,desempregado,1,não,não,bom
sem conta,6,já atrasou pagamentos,negócios,1743,[100-500),"[1,4) anos",1,masculino/solteiro,nenhum,2,imobiliario,34,nenhum,própria,2,nível 1,1,não,não,bom
[0-200),9,conta crítica,educação,1136,>1000,> 7 anos,4,masculino/solteiro,nenhum,3,sem propriedades,32,nenhum,de graça,2,nível 2,2,não,não,mau
sem conta,9,pagamento em dia,itens de casa,1236,<100,< 1 ano,1,feminino/divorciado,nenhum,4,imobiliario,23,nenhum,alugada,1,nível 2,1,sim,não,bom
[0-200),9,pagamento em dia,móveis,959,<100,"[1,4) anos",1,feminino/divorciado,nenhum,2,carro,29,nenhum,própria,1,nível 2,1,não,sim,mau
sem conta,18,conta crítica,carro usado,3229,sem conta,desempregado,2,masculino/solteiro,nenhum,4,sem propriedades,38,nenhum,própria,1,nível 3,1,sim,não,bom
negativo,12,primeira vez,radio/televisão,6199,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,seguro  de vida,28,nenhum,alugada,2,nível 2,1,sim,não,mau
sem conta,10,pagamento em dia,educação,727,[500-1000),> 7 anos,4,masculino/solteiro,nenhum,4,sem propriedades,46,nenhum,de graça,1,nível 2,1,sim,não,bom
[0-200),24,pagamento em dia,carro novo,1246,<100,< 1 ano,4,masculino/solteiro,nenhum,2,imobiliario,23,lojas,própria,1,nível 1,1,não,não,mau
sem conta,12,conta crítica,radio/televisão,2331,sem conta,> 7 anos,1,masculino/solteiro,co-aplicante,4,imobiliario,49,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,36,já atrasou pagamentos,radio/televisão,4463,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,26,nenhum,própria,2,nível 3,1,sim,não,mau
sem conta,12,pagamento em dia,radio/televisão,776,<100,"[1,4) anos",4,masculino/casado,nenhum,2,imobiliario,28,nenhum,própria,1,nível 2,1,não,não,bom
negativo,30,pagamento em dia,móveis,2406,<100,"[4,7) anos",4,feminino/divorciado,nenhum,4,imobiliario,23,nenhum,alugada,1,nível 2,1,não,não,mau
[0-200),18,pagamento em dia,educação,1239,sem conta,"[1,4) anos",4,masculino/solteiro,nenhum,4,sem propriedades,61,nenhum,de graça,1,nível 2,1,não,não,bom
200+,12,pagamento em dia,radio/televisão,3399,sem conta,> 7 anos,2,masculino/solteiro,nenhum,3,carro,37,nenhum,própria,1,nível 3,1,não,não,bom
200+,12,já atrasou pagamentos,carro novo,2247,<100,"[1,4) anos",2,feminino/divorciado,nenhum,2,carro,36,lojas,própria,2,nível 2,1,sim,não,bom
sem conta,6,pagamento em dia,móveis,1766,<100,"[1,4) anos",1,masculino/casado,nenhum,2,seguro  de vida,21,nenhum,alugada,1,nível 2,1,não,não,bom
negativo,18,pagamento em dia,móveis,2473,<100,desempregado,4,masculino/solteiro,nenhum,1,carro,25,nenhum,própria,1,desempregado,1,não,não,mau
sem conta,12,pagamento em dia,negócios,1542,<100,"[4,7) anos",2,masculino/solteiro,nenhum,4,carro,36,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,18,conta crítica,carro usado,3850,<100,"[4,7) anos",3,masculino/solteiro,nenhum,1,carro,27,nenhum,própria,2,nível 2,1,não,não,bom
negativo,18,pagamento em dia,móveis,3650,<100,< 1 ano,1,feminino/divorciado,nenhum,4,carro,22,nenhum,alugada,1,nível 2,1,não,não,bom
negativo,36,pagamento em dia,móveis,3446,<100,> 7 anos,4,masculino/solteiro,nenhum,2,carro,42,nenhum,própria,1,nível 2,2,não,não,mau
[0-200),18,pagamento em dia,móveis,3001,<100,"[4,7) anos",2,feminino/divorciado,nenhum,4,imobiliario,40,nenhum,alugada,1,nível 2,1,não,não,bom
sem conta,36,pagamento em dia,carro novo,3079,sem conta,"[1,4) anos",4,masculino/solteiro,nenhum,4,imobiliario,36,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,18,conta crítica,radio/televisão,6070,<100,> 7 anos,3,masculino/solteiro,nenhum,4,carro,33,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,10,conta crítica,móveis,2146,<100,< 1 ano,1,feminino/divorciado,nenhum,3,imobiliario,23,nenhum,alugada,2,nível 2,1,não,não,bom
sem conta,60,conta crítica,carro novo,13756,sem conta,> 7 anos,2,masculino/solteiro,nenhum,4,sem propriedades,63,bancos,de graça,1,nível 3,1,sim,não,bom
[0-200),60,creditos quitados,outros,14782,[100-500),> 7 anos,3,feminino/divorciado,nenhum,4,sem propriedades,60,bancos,de graça,2,nível 3,1,sim,não,mau
negativo,48,creditos quitados,negócios,7685,<100,"[4,7) anos",2,feminino/divorciado,fiador,4,carro,37,nenhum,alugada,1,nível 2,1,não,não,mau
sem conta,18,já atrasou pagamentos,radio/televisão,2320,<100,desempregado,2,masculino/casado,nenhum,3,imobiliario,34,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,7,já atrasou pagamentos,radio/televisão,846,sem conta,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,36,nenhum,de graça,1,nível 2,1,não,não,bom
[0-200),36,pagamento em dia,carro novo,14318,<100,> 7 anos,4,masculino/solteiro,nenhum,2,sem propriedades,57,nenhum,de graça,1,nível 3,1,sim,não,mau
sem conta,6,conta crítica,carro novo,362,[100-500),"[1,4) anos",4,feminino/divorciado,nenhum,4,carro,52,nenhum,própria,2,nível 1,1,não,não,bom
negativo,20,pagamento em dia,móveis,2212,sem conta,"[4,7) anos",4,masculino/solteiro,nenhum,4,carro,39,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),18,pagamento em dia,carro usado,12976,<100,desempregado,3,feminino/divorciado,nenhum,4,sem propriedades,38,nenhum,de graça,1,nível 3,1,sim,não,mau
sem conta,22,pagamento em dia,carro novo,1283,sem conta,"[4,7) anos",4,feminino/divorciado,nenhum,4,seguro  de vida,25,nenhum,alugada,1,nível 2,1,não,não,bom
200+,12,pagamento em dia,carro novo,1330,<100,< 1 ano,4,masculino/solteiro,nenhum,1,imobiliario,26,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,30,já atrasou pagamentos,negócios,4272,[100-500),"[1,4) anos",2,masculino/solteiro,nenhum,2,seguro  de vida,26,nenhum,própria,2,nível 1,1,não,não,bom
sem conta,18,conta crítica,radio/televisão,2238,<100,"[1,4) anos",2,feminino/divorciado,nenhum,1,carro,25,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,radio/televisão,1126,sem conta,< 1 ano,4,feminino/divorciado,nenhum,2,imobiliario,21,nenhum,alugada,1,nível 2,1,sim,não,bom
[0-200),18,conta crítica,móveis,7374,<100,desempregado,4,masculino/solteiro,nenhum,4,seguro  de vida,40,lojas,própria,2,nível 3,1,sim,não,bom
[0-200),15,conta crítica,negócios,2326,[500-1000),"[1,4) anos",2,masculino/solteiro,nenhum,4,carro,27,bancos,própria,1,nível 2,1,não,não,bom
sem conta,9,pagamento em dia,negócios,1449,<100,"[4,7) anos",3,feminino/divorciado,nenhum,2,carro,27,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,carro novo,1820,<100,"[1,4) anos",2,masculino/casado,nenhum,2,seguro  de vida,30,nenhum,própria,1,nível 3,1,sim,não,bom
[0-200),12,pagamento em dia,móveis,983,>1000,< 1 ano,1,feminino/divorciado,nenhum,4,imobiliario,19,nenhum,alugada,1,nível 1,1,não,não,bom
negativo,36,pagamento em dia,carro novo,3249,<100,"[4,7) anos",2,masculino/solteiro,nenhum,4,sem propriedades,39,bancos,de graça,1,nível 3,2,sim,não,bom
negativo,6,conta crítica,radio/televisão,1957,<100,"[4,7) anos",1,feminino/divorciado,nenhum,4,carro,31,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,9,conta crítica,móveis,2406,<100,desempregado,2,masculino/solteiro,nenhum,3,carro,31,nenhum,própria,1,nível 3,1,não,não,bom
[0-200),39,já atrasou pagamentos,educação,11760,[100-500),"[4,7) anos",2,masculino/solteiro,nenhum,3,sem propriedades,32,nenhum,alugada,1,nível 2,1,sim,não,bom
negativo,12,pagamento em dia,móveis,2578,<100,desempregado,3,feminino/divorciado,nenhum,4,sem propriedades,55,nenhum,de graça,1,nível 3,1,não,não,bom
negativo,36,conta crítica,móveis,2348,<100,"[1,4) anos",3,masculino/casado,nenhum,2,seguro  de vida,46,nenhum,própria,2,nível 2,1,sim,não,bom
[0-200),12,pagamento em dia,carro novo,1223,<100,> 7 anos,1,masculino/divorciado,nenhum,1,imobiliario,46,nenhum,alugada,2,nível 2,1,não,não,mau
sem conta,24,conta crítica,radio/televisão,1516,>1000,"[1,4) anos",4,feminino/divorciado,nenhum,1,imobiliario,43,nenhum,própria,2,nível 1,1,não,não,bom
sem conta,18,pagamento em dia,radio/televisão,1473,<100,< 1 ano,3,masculino/casado,nenhum,4,imobiliario,39,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),18,conta crítica,negócios,1887,sem conta,"[1,4) anos",4,masculino/casado,nenhum,4,imobiliario,28,bancos,própria,2,nível 2,1,não,não,bom
sem conta,24,já atrasou pagamentos,negócios,8648,<100,< 1 ano,2,masculino/solteiro,nenhum,2,carro,27,bancos,própria,2,nível 2,1,sim,não,mau
sem conta,14,já atrasou pagamentos,carro novo,802,<100,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,27,nenhum,própria,2,nível 1,1,não,não,bom
[0-200),18,já atrasou pagamentos,carro novo,2899,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,carro,43,nenhum,própria,1,nível 2,2,não,não,bom
[0-200),24,pagamento em dia,radio/televisão,2039,<100,< 1 ano,1,masculino/casado,nenhum,1,seguro  de vida,22,nenhum,própria,1,nível 2,1,sim,não,mau
sem conta,24,conta crítica,carro usado,2197,sem conta,"[4,7) anos",4,masculino/solteiro,nenhum,4,carro,43,nenhum,própria,2,nível 2,2,sim,não,bom
negativo,15,pagamento em dia,radio/televisão,1053,<100,< 1 ano,4,masculino/casado,nenhum,2,imobiliario,27,nenhum,própria,1,nível 2,1,não,sim,bom
sem conta,24,pagamento em dia,radio/televisão,3235,[500-1000),> 7 anos,3,masculino/divorciado,nenhum,2,carro,26,nenhum,própria,1,nível 3,1,sim,não,bom
200+,12,conta crítica,carro novo,939,[500-1000),"[4,7) anos",4,masculino/casado,nenhum,2,imobiliario,28,nenhum,própria,3,nível 2,1,sim,não,mau
[0-200),24,pagamento em dia,radio/televisão,1967,<100,> 7 anos,4,feminino/divorciado,nenhum,4,carro,20,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,33,conta crítica,carro usado,7253,<100,"[4,7) anos",3,masculino/solteiro,nenhum,2,carro,35,nenhum,própria,2,nível 3,1,sim,não,bom
sem conta,12,conta crítica,negócios,2292,<100,desempregado,4,masculino/solteiro,nenhum,2,carro,42,lojas,própria,2,nível 3,1,sim,não,mau
sem conta,10,pagamento em dia,carro novo,1597,[500-1000),"[1,4) anos",3,masculino/solteiro,nenhum,2,sem propriedades,40,nenhum,alugada,1,nível 1,2,não,sim,bom
negativo,24,pagamento em dia,carro novo,1381,sem conta,"[1,4) anos",4,feminino/divorciado,nenhum,2,seguro  de vida,35,nenhum,própria,1,nível 2,1,não,não,mau
sem conta,36,conta crítica,carro usado,5842,<100,> 7 anos,2,masculino/solteiro,nenhum,2,seguro  de vida,35,nenhum,própria,2,nível 2,2,sim,não,bom
negativo,12,pagamento em dia,carro novo,2579,<100,< 1 ano,4,masculino/solteiro,nenhum,1,imobiliario,33,nenhum,própria,1,nível 1,2,não,não,mau
negativo,18,já atrasou pagamentos,educação,8471,sem conta,"[1,4) anos",1,feminino/divorciado,nenhum,2,carro,23,nenhum,alugada,2,nível 2,1,sim,não,bom
sem conta,21,pagamento em dia,carro novo,2782,[500-1000),"[4,7) anos",1,feminino/divorciado,nenhum,2,carro,31,bancos,própria,1,nível 3,1,não,não,bom
[0-200),18,pagamento em dia,carro novo,1042,sem conta,"[1,4) anos",4,feminino/divorciado,nenhum,2,seguro  de vida,33,nenhum,própria,1,nível 2,1,não,não,mau
sem conta,15,pagamento em dia,carro novo,3186,>1000,"[4,7) anos",2,feminino/divorciado,nenhum,3,carro,20,nenhum,alugada,1,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,carro usado,2028,sem conta,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),12,conta crítica,carro novo,958,<100,"[4,7) anos",2,masculino/solteiro,nenhum,3,imobiliario,47,nenhum,própria,2,nível 1,2,não,não,bom
sem conta,21,já atrasou pagamentos,móveis,1591,[100-500),"[4,7) anos",4,masculino/solteiro,nenhum,3,imobiliario,34,nenhum,própria,2,nível 3,1,não,não,bom
[0-200),12,pagamento em dia,móveis,2762,sem conta,> 7 anos,1,feminino/divorciado,nenhum,2,seguro  de vida,25,bancos,própria,1,nível 2,1,sim,não,mau
[0-200),18,pagamento em dia,carro usado,2779,<100,"[1,4) anos",1,masculino/casado,nenhum,3,carro,21,nenhum,alugada,1,nível 2,1,sim,não,bom
sem conta,28,conta crítica,radio/televisão,2743,<100,> 7 anos,4,masculino/solteiro,nenhum,2,carro,29,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,18,conta crítica,radio/televisão,1149,>1000,"[1,4) anos",4,masculino/solteiro,nenhum,3,imobiliario,46,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,9,pagamento em dia,móveis,1313,<100,> 7 anos,1,masculino/solteiro,nenhum,4,carro,20,nenhum,própria,1,nível 2,1,não,não,bom
negativo,18,conta crítica,reparos,1190,<100,desempregado,2,feminino/divorciado,nenhum,4,sem propriedades,55,nenhum,de graça,3,desempregado,2,não,não,mau
sem conta,5,pagamento em dia,negócios,3448,<100,"[4,7) anos",1,masculino/solteiro,nenhum,4,imobiliario,74,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),24,pagamento em dia,outros,11328,<100,"[1,4) anos",2,masculino/solteiro,co-aplicante,3,carro,29,bancos,própria,2,nível 3,1,sim,não,mau
negativo,6,conta crítica,móveis,1872,<100,desempregado,4,masculino/solteiro,nenhum,4,sem propriedades,36,nenhum,de graça,3,nível 3,1,sim,não,bom
sem conta,24,conta crítica,reparos,2058,<100,"[1,4) anos",4,masculino/divorciado,nenhum,2,imobiliario,33,nenhum,própria,2,nível 2,1,sim,não,bom
negativo,9,pagamento em dia,móveis,2136,<100,"[1,4) anos",3,masculino/solteiro,nenhum,2,imobiliario,25,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,radio/televisão,1484,sem conta,"[1,4) anos",2,masculino/casado,nenhum,1,imobiliario,25,nenhum,própria,1,nível 2,1,sim,não,mau
sem conta,6,pagamento em dia,reparos,660,[500-1000),"[4,7) anos",2,masculino/casado,nenhum,4,imobiliario,23,nenhum,alugada,1,nível 1,1,não,não,bom
sem conta,24,conta crítica,carro novo,1287,>1000,> 7 anos,4,feminino/divorciado,nenhum,4,imobiliario,37,nenhum,própria,2,nível 2,1,sim,não,bom
negativo,42,conta crítica,reparos,3394,<100,desempregado,4,masculino/solteiro,co-aplicante,4,carro,65,nenhum,própria,2,desempregado,1,não,não,bom
200+,12,creditos quitados,negócios,609,<100,< 1 ano,4,feminino/divorciado,nenhum,1,imobiliario,26,nenhum,própria,1,desempregado,1,não,não,mau
sem conta,12,pagamento em dia,carro novo,1884,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,39,nenhum,própria,1,nível 3,1,sim,não,bom
negativo,12,pagamento em dia,móveis,1620,<100,"[1,4) anos",2,feminino/divorciado,co-aplicante,3,seguro  de vida,30,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),20,já atrasou pagamentos,outros,2629,<100,"[1,4) anos",2,masculino/solteiro,nenhum,3,carro,29,bancos,própria,2,nível 2,1,sim,não,bom
sem conta,12,pagamento em dia,educação,719,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,41,bancos,própria,1,nível 1,2,não,não,mau
[0-200),48,conta crítica,móveis,5096,<100,"[1,4) anos",2,feminino/divorciado,nenhum,3,carro,30,nenhum,própria,1,nível 3,1,sim,não,mau
sem conta,9,conta crítica,educação,1244,sem conta,> 7 anos,4,feminino/divorciado,nenhum,4,seguro  de vida,41,nenhum,alugada,2,nível 1,1,não,não,bom
negativo,36,pagamento em dia,carro novo,1842,<100,< 1 ano,4,feminino/divorciado,nenhum,4,carro,34,nenhum,própria,1,nível 2,1,sim,não,mau
[0-200),7,pagamento em dia,radio/televisão,2576,<100,"[1,4) anos",2,masculino/solteiro,fiador,2,imobiliario,35,nenhum,própria,1,nível 2,1,não,não,bom
200+,12,pagamento em dia,móveis,1424,sem conta,> 7 anos,3,feminino/divorciado,nenhum,4,imobiliario,55,nenhum,própria,1,nível 3,1,sim,não,bom
[0-200),15,já atrasou pagamentos,reparos,1512,>1000,"[1,4) anos",3,masculino/casado,nenhum,3,seguro  de vida,61,lojas,própria,2,nível 2,1,não,não,mau
sem conta,36,conta crítica,carro usado,11054,sem conta,"[1,4) anos",4,masculino/solteiro,nenhum,2,carro,30,nenhum,própria,1,nível 3,1,sim,não,bom
sem conta,6,pagamento em dia,radio/televisão,518,<100,"[1,4) anos",3,feminino/divorciado,nenhum,1,imobiliario,29,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,12,primeira vez,móveis,2759,<100,> 7 anos,2,masculino/solteiro,nenhum,4,seguro  de vida,34,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,24,pagamento em dia,carro usado,2670,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,35,nenhum,própria,1,nível 3,1,sim,não,bom
negativo,24,pagamento em dia,carro novo,4817,<100,"[4,7) anos",2,masculino/solteiro,co-aplicante,3,seguro  de vida,31,nenhum,própria,1,nível 2,1,sim,não,mau
sem conta,24,pagamento em dia,carro usado,2679,<100,< 1 ano,4,feminino/divorciado,nenhum,1,sem propriedades,29,nenhum,própria,1,nível 3,1,sim,não,bom
negativo,11,conta crítica,carro novo,3905,<100,"[1,4) anos",2,masculino/solteiro,nenhum,2,imobiliario,36,nenhum,alugada,2,nível 2,2,não,não,bom
negativo,12,pagamento em dia,carro usado,3386,<100,> 7 anos,3,masculino/solteiro,nenhum,4,sem propriedades,35,nenhum,de graça,1,nível 2,1,sim,não,mau
negativo,6,pagamento em dia,itens de casa,343,<100,< 1 ano,4,feminino/divorciado,nenhum,1,imobiliario,27,nenhum,própria,1,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,radio/televisão,4594,<100,< 1 ano,3,masculino/solteiro,nenhum,2,carro,32,nenhum,própria,1,nível 2,1,sim,não,bom
negativo,36,pagamento em dia,móveis,3620,<100,"[1,4) anos",1,masculino/solteiro,fiador,2,seguro  de vida,37,nenhum,própria,1,nível 2,2,não,não,bom
negativo,15,pagamento em dia,carro novo,1721,<100,< 1 ano,2,masculino/solteiro,nenhum,3,imobiliario,36,nenhum,própria,1,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,móveis,3017,<100,< 1 ano,3,feminino/divorciado,nenhum,1,imobiliario,34,nenhum,alugada,1,nível 3,1,não,não,bom
[0-200),12,pagamento em dia,retreinamentos,754,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,seguro  de vida,38,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,18,pagamento em dia,negócios,1950,<100,"[4,7) anos",4,masculino/solteiro,nenhum,1,carro,34,lojas,própria,2,nível 2,1,sim,não,bom
negativo,24,pagamento em dia,carro usado,2924,<100,"[1,4) anos",3,masculino/solteiro,fiador,4,sem propriedades,63,bancos,própria,1,nível 2,2,sim,não,bom
negativo,24,já atrasou pagamentos,radio/televisão,1659,<100,< 1 ano,4,feminino/divorciado,nenhum,2,carro,29,nenhum,alugada,1,nível 1,1,sim,não,mau
sem conta,48,já atrasou pagamentos,radio/televisão,7238,sem conta,> 7 anos,3,masculino/solteiro,nenhum,3,carro,32,bancos,própria,2,nível 2,2,não,não,bom
sem conta,33,já atrasou pagamentos,negócios,2764,<100,"[1,4) anos",2,feminino/divorciado,nenhum,2,carro,26,nenhum,própria,2,nível 2,1,sim,não,bom
sem conta,24,já atrasou pagamentos,carro usado,4679,<100,"[4,7) anos",3,masculino/solteiro,nenhum,3,carro,35,nenhum,própria,2,nível 1,1,sim,não,bom
[0-200),24,pagamento em dia,radio/televisão,3092,[100-500),< 1 ano,3,masculino/casado,nenhum,2,carro,22,nenhum,alugada,1,nível 2,1,sim,não,mau
negativo,6,pagamento em dia,educação,448,<100,< 1 ano,4,feminino/divorciado,nenhum,4,seguro  de vida,23,nenhum,própria,1,nível 2,1,não,não,mau
negativo,9,pagamento em dia,carro novo,654,<100,"[1,4) anos",4,masculino/solteiro,nenhum,3,carro,28,nenhum,própria,1,nível 1,1,não,não,mau
sem conta,6,pagamento em dia,retreinamentos,1238,sem conta,desempregado,4,masculino/solteiro,nenhum,4,seguro  de vida,36,nenhum,própria,1,nível 3,2,sim,não,bom
[0-200),18,conta crítica,radio/televisão,1245,<100,"[1,4) anos",4,masculino/casado,nenhum,2,carro,33,nenhum,própria,1,nível 2,1,não,não,mau
negativo,18,primeira vez,móveis,3114,<100,< 1 ano,1,feminino/divorciado,nenhum,4,seguro  de vida,26,nenhum,alugada,1,nível 2,1,não,não,mau
sem conta,39,pagamento em dia,carro usado,2569,[500-1000),"[1,4) anos",4,masculino/solteiro,nenhum,4,carro,24,nenhum,própria,1,nível 2,1,não,não,bom
200+,24,pagamento em dia,radio/televisão,5152,<100,"[4,7) anos",4,masculino/solteiro,nenhum,2,carro,25,bancos,própria,1,nível 2,1,não,não,bom
[0-200),12,pagamento em dia,negócios,1037,[100-500),"[4,7) anos",3,masculino/solteiro,nenhum,4,imobiliario,39,nenhum,própria,1,nível 1,1,não,não,bom
negativo,15,conta crítica,móveis,1478,<100,> 7 anos,4,masculino/solteiro,nenhum,4,carro,44,nenhum,própria,2,nível 2,2,sim,não,bom
[0-200),12,conta crítica,radio/televisão,3573,<100,"[1,4) anos",1,feminino/divorciado,nenhum,1,imobiliario,23,nenhum,própria,1,nível 1,1,não,não,bom
[0-200),24,pagamento em dia,carro novo,1201,<100,< 1 ano,4,masculino/solteiro,nenhum,1,seguro  de vida,26,nenhum,própria,1,nível 2,1,não,não,bom
negativo,30,pagamento em dia,móveis,3622,>1000,> 7 anos,4,feminino/divorciado,nenhum,4,seguro  de vida,57,nenhum,alugada,2,nível 2,1,sim,não,bom
sem conta,15,já atrasou pagamentos,móveis,960,>1000,"[4,7) anos",3,feminino/divorciado,nenhum,2,seguro  de vida,30,nenhum,própria,2,nível 2,1,não,não,bom
sem conta,12,conta crítica,carro novo,1163,[500-1000),"[1,4) anos",4,masculino/solteiro,nenhum,4,imobiliario,44,nenhum,própria,1,nível 2,1,sim,não,bom
[0-200),6,já atrasou pagamentos,carro novo,1209,<100,desempregado,4,masculino/solteiro,nenhum,4,seguro  de vida,47,nenhum,própria,1,nível 3,1,sim,não,mau
sem conta,12,pagamento em dia,radio/televisão,3077,<100,"[1,4) anos",2,masculino/solteiro,nenhum,4,carro,52,nenhum,própria,1,nível 2,1,sim,não,bom
sem conta,24,pagamento em dia,carro novo,3757,<100,> 7 anos,4,feminino/divorciado,co-aplicante,4,sem propriedades,62,nenhum,de graça,1,nível 2,1,sim,não,bom
sem conta,10,pagamento em dia,carro novo,1418,[100-500),"[1,4) anos",3,masculino/solteiro,nenhum,2,imobiliario,35,nenhum,alugada,1,nível 1,1,não,sim,bom
sem conta,6,pagamento em dia,carro novo,3518,<100,"[1,4) anos",2,masculino/solteiro,fiador,3,seguro  de vida,26,nenhum,alugada,1,nível 2,1,não,não,bom
sem conta,12,conta crítica,radio/televisão,1934,<100,> 7 anos,2,masculino/solteiro,nenhum,2,sem propriedades,26,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),27,primeira vez,negócios,8318,<100,> 7 anos,2,feminino/divorciado,nenhum,4,sem propriedades,42,nenhum,de graça,2,nível 3,1,sim,não,mau
sem conta,6,conta crítica,radio/televisão,1237,[100-500),"[1,4) anos",1,feminino/divorciado,nenhum,1,seguro  de vida,27,nenhum,própria,2,nível 2,1,não,não,bom
[0-200),6,pagamento em dia,radio/televisão,368,sem conta,> 7 anos,4,masculino/solteiro,nenhum,4,seguro  de vida,38,nenhum,própria,1,nível 2,1,não,não,bom
negativo,12,conta crítica,carro novo,2122,<100,"[1,4) anos",3,masculino/solteiro,nenhum,2,imobiliario,39,nenhum,alugada,2,nível 1,2,não,sim,bom
negativo,24,pagamento em dia,móveis,2996,sem conta,"[1,4) anos",2,masculino/casado,nenhum,4,carro,20,nenhum,própria,1,nível 2,1,não,não,mau
